Sl. No.,State/UT,2017 - Farmers - Cultivators,2018 - Farmers - Cultivators,2019 - Farmers - Cultivators,2020 - Farmers - Cultivators,2021 - Farmers -Cultivators
1,Andhra Pradesh,375,365,628,564,481
2,Arunachal Pradesh,0,0,0,1,0
3,Assam,3,5,26,12,153
4,Bihar,0,0,0,0,0
5,Chhattisgarh,285,182,233,227,71
6,Goa,0,0,0,0,0
7,Gujarat,4,21,3,5,0
8,Haryana,0,0,0,0,13
9,Himachal Pradesh,4,5,12,6,13
10,Jharkhand,0,0,0,0,0
11,Karnataka,1157,1365,1331,1072,1170
12,Kerala,42,25,22,57,34
13,Madhya Pradesh,429,303,142,235,117
14,Maharashtra,2426,2239,2680,2567,2640
15,Manipur,0,2,0,1,0
16,Meghalaya,0,0,0,4,3
17,Mizoram,0,17,22,4,0
18,Nagaland,0,0,0,0,1
19,Odisha,0,0,0,0,0
20,Punjab,243,229,239,174,171
21,Rajasthan,3,2,2,0,0
22,Sikkim,7,1,0,6,8
23,Tamil Nadu,19,6,6,79,61
24,Telangana,846,900,491,466,352
25,Tripura,0,0,0,0,0
26,Uttar Pradesh,110,80,108,87,13
27,Uttarakhand,0,0,0,0,0
28,West Bengal,0,0,0,0,0
29,Andaman and Nicobar Islands,2,4,5,6,2
30,Chandigarh,0,0,0,0,0
31,Dadra and Nagar Haveli and Daman and Diu,0,7,7,6,14
32,Delhi,0,0,0,0,0
33,Jammu and Kashmir,0,5,0,0,1
34,Ladakh,NA,NA,NA,0,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry,0,0,0,0,0
Total (All India),Total (All India),5955,5763,5957,5579,5318
